Preparing 60 applications (fetching each posting)…

  Niramai Health Analytix Junior Android developer                       7 reqs read
  Infowind Technologies  MERN Stack Developer                           9 reqs read
  Klizo Solutions        Android Developer                              6 reqs read
  FloBiz                 SDE 1 - IOS                                    4 reqs read
  Eshopbox               SDE 1 Backend                                  7 reqs read
  Fingent                Junior DevOps Engineer/DevOps Engineer 1-3Ye   8 reqs read
  Ficode Software Solutions Jr. Mobile application developer(Android)      15 reqs read
  HealthEdge             Associate Technical Services Engineer          not readable — generic note
  Miko                   Junior Java Developer                          9 reqs read
  Netomi                 SDE I - Backend                                2 reqs read
  Olyv                   Java SDE - I                                   3 reqs read
  Rubick.ai              SDE I (FULL STACK MERN)                        8 reqs read
  Wipro                  AI ENGINEER L1                                 3 reqs read
  Zinier                 Platform Support Engineer(L1)                  7 reqs read
  iTech India            Associate QA Engineer                          5 reqs read
  BinaryFolks            Mobile App Developer                           5 reqs read
  Classic Informatics    React Native and Flutter Developer             3 reqs read
  Codzgarage Infotech    Flutter Developer                              7 reqs read
  CodeRower              Flutter Developer                              3 reqs read
  Decipher Zone Softwares Flutter Developer                              11 reqs read
  Duplex Technologies    Flutter Developer                              6 reqs read
  DecodeUp Technologies  Flutter - Mobile App Developer                 5 reqs read
  Ezeiatech              Software Engineer Flutter                      4 reqs read
  Hubble                 Software Engineer - Mobile                     6 reqs read
  KSoft Technologies     Flutter Developer                              not readable — generic note
  Nelito Systems         Mobile App Developer (IOS / Android)           19 reqs read
  Techugo                React Native Developer Exp: 2 to 4 years       6 reqs read
  Unico Connect          Flutter Mobile App Developer                   8 reqs read
  Vibrant Info           Webflow Developer                              5 reqs read
  Apptunix               Software Engineer (Web & App)                  4 reqs read
  Capgemini              Flutter Developer                              2 reqs read
  LN Webworks            Mobile App Developer with Ionic experience     6 reqs read
  Zealous System         Hire API Developer                             11 reqs read
  AlphaSense             Cloud Support Engineer                         7 reqs read
  Autodesk               Software Engineer                              6 reqs read
  Acceldata              Software Engineer - Open Data Platform (ODP)   3 reqs read
  Calibraint             Blockchain Developer                           2 reqs read
  CredAble               Fullstack Developer                            6 reqs read
  Coverfox               Software Developer (Backend Engineer)          10 reqs read
  Celonis                Applied AI Engineer                            5 reqs read
  Copado                 DevOps Support Engineer                        6 reqs read
  DigiCert               Application Security Engineer                  4 reqs read
  DigiCert               Software Engineer (Java + Go)                  3 reqs read
  Disney Star India      Software Development Engineer II               4 reqs read
  Drivetrain             Frontend Engineer                              2 reqs read
  Definedge Securities   Core Java Developer                            12 reqs read
  Exotel                 Product Support Engineer (Mumbai)              1 reqs read
  Ezeiatech              Software Engineer Java                         4 reqs read
  Embien Technologies    Back-end Developer                             11 reqs read
  FuGenX Technologies    Job Position: Artificial Intelligence (AI) S   8 reqs read
  Fidelity International Analyst Programmer                             5 reqs read
  Franciscan Solutions   Technical Support Engineer                     3 reqs read
  Grepix Infotech        Android Developer                              not readable — generic note
  Helical IT Solutions   Jaspersoft Developer                           3 reqs read
  HealthEdge             Software Engineer (.Net Full-Stack)            not readable — generic note
  Hodusoft               QA ENGINEER                                    2 reqs read
  Icreon                 Software Engineer - Java (TW-3183)             not readable — generic note
  Innovature             Software Engineer Full-stack (Python/React)    7 reqs read
  KTree Computer Solutions Java Full stack Developer                      11 reqs read
  Klizo Solutions        Blockchain Developer                           5 reqs read

Wrote ../weekendplan/1-java-flutter-2yr/apply-pack.txt (60 roles)
